,CODDEPTO,Hectáreas cultivadas,DEPARTAMENTO,FRONTERA
0,5,16167.98,ANTIOQUIA,False
1,13,10368.03,BOLÍVAR,False
2,15,47.29,BOYACÁ,True
3,17,0.0,CALDAS,False
4,18,5613.97,CAQUETÁ,False
5,19,26222.719999999998,CAUCA,True
6,20,7.68,CESAR,True
7,23,6363.79,CÓRDOBA,True
8,25,0.0,CUNDINAMARCA,False
9,27,5554.8,CHOCÓ,True
10,44,0.0,LA GUAJIRA,True
11,47,3.0,MAGDALENA,True
12,50,1833.62,META,False
13,52,59746.490000000005,NARIÑO,True
14,54,42034.83,NORTE DE SANTANDER,True
15,68,15.3,SANTANDER,True
16,76,2638.92,VALLE DEL CAUCA,True
17,81,0.0,ARAUCA,True
18,86,48034.43,PUTUMAYO,True
19,91,103.39,AMAZONAS,True
20,94,36.92,GUAINÍA,True
21,95,4934.71,GUAVIARE,False
22,97,17.05,VAUPÉS,True
23,99,282.7,VICHADA,True
